Squad,League,Avg. Possession,Expected Goals,NP Expected Goals,Expected Assisted Goals,Shots on Target Against,Saves Made,Clean Sheets,GK Post-Shot Expected Goals,GK Passes Attempted > 40 yards,GK Throws Attempted,GK Avg. Length of Passes,GK Goal Kicks Attempted,GK % of Goal Kicks > 40 yards,GK Avg. Length of Goal Kicks,GK # of Def. Actions Outside Box,GK Avg. Distance from Goal of Def. Actions,Total Shots,Shots on Target,Goals per Shot on Target,Avg. Distance from Goal Shooting,Goals Minus Expected Goals,Long Passes Attempted,Medium Passes Attempted,Short Passes Attempted,Total Passes Attempted,Progressive Distance of Passes,Total Distance of Passes,Expected Assists,Key Passes (directly lead to shot),Completed Passes into Final Third,Completed Passes into Box,Completed Crosses into Box,Progressive Passes,Total Passes Completed,Live Ball Passes,Dead Ball Passes,Passes Completed by Defenders into Open Space,Switches > width of 40 yards,Crosses,Corner Kicks,Shot Creating Actions,Live Ball Passes Leading to Shot,Dead Ball Passes Leading to Shot,Dribbles Leading to Shot,Def. Actions Leading to Shot,Goal Creating Actions,# of Players Tackled,Tackles Leading to Possession,Tackles in Def. Third,Tackles in Mid. Third,Tackles in Att. Third,# of Dribblers Tackled,# of Times Dribbled Past + Tackles,# of Times Dribbled Past,# of Shots Blocked,# of Passes Blocked,Interceptions,Tackles + Interceptions,Clearances,Touches,Touches in Own Box,Touches in Def. Third,Touches in Mid. Third,Touches in Att. Third,Touches in Opp. Box,Live Ball Touches,Attempted Dribbles,Miscontrol,Dispossessed,Passes Received,Progressive Passes Received,Fouls Committed,Fouls Drawn,Loose Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,label
Eibar 2017 - 2018,La Liga,52,1.076315789,1.015789474,0.794736842,3.526315789,2.289473684,0.289473684,1.257894737,25.18421053,2.526315789,1.297368421,239,95.4,1.828947368,2.631578947,0.497368421,12.28947368,3.447368421,0.008157895,0.489473684,0.055263158,117.7368421,165.7631579,163.6578947,472.6578947,2594.921053,6854.447368,0.763157895,8.763157895,33.86842105,6.763157895,3.631578947,26.13157895,334.8684211,413.3157895,57.13157895,0.447368421,8.5,27.76315789,6.026315789,21.15789474,13.94736842,2.763157895,1.210526316,0.526315789,1.894736842,16.92105263,11.47368421,7.131578947,7.421052632,2.368421053,6.789473684,16.13157895,9.342105263,1.394736842,7.789473684,14.57894737,31.5,18.73684211,574.0789474,43.63157895,140.7631579,279.8157895,160.0789474,18.65789474,574,17.07894737,16.34210526,9.842105263,329.5263158,25.55263158,12.94736842,11.44736842,60.18421053,19.78947368,18.89473684,0
Espanyol 2017 - 2018,La Liga,46.9,1.081578947,1.015789474,0.731578947,4.315789474,3.210526316,0.315789474,1.242105263,17.71052632,4.526315789,1.081578947,329,84.8,1.505263158,0.631578947,0.336842105,10.78947368,3.368421053,0.006315789,0.492105263,-0.213157895,90,155.3947368,180.9736842,452.4210526,2378.289474,6148.421053,0.742105263,7.631578947,27.26315789,6.105263158,2.236842105,23.55263158,335.6052632,397.7368421,52.68421053,0.894736842,4.710526316,18.94736842,4.210526316,18.71052632,12.89473684,1.789473684,1.078947368,0.684210526,1.578947368,18.84210526,13.15789474,9.394736842,7.315789474,2.131578947,7.131578947,18.42105263,11.28947368,3.052631579,6.473684211,13.55263158,32.39473684,23.73684211,557.0526316,57,187.9210526,258.4473684,116.0789474,15.34210526,557,15.68421053,14.05263158,10.21052632,331.3157895,22.92105263,13.71052632,13.94736842,52.86842105,15.71052632,16.65789474,3
Getafe 2017 - 2018,La Liga,40.2,1.268421053,1.015789474,0.778947368,3.421052632,2.526315789,0.368421053,1.113157895,24.34210526,2.105263158,1.305263158,332,97,1.692105263,0.973684211,0.376315789,9.5,3.210526316,0.007894737,0.5,-0.189473684,89.31578947,109.3421053,123.8157895,347.1842105,2019,4446.842105,0.671052632,6.710526316,23.26315789,6.763157895,1.763157895,21.92105263,224.5,289.3157895,55.02631579,1.394736842,6.394736842,15.39473684,4.763157895,16.65789474,9.842105263,2.289473684,1.394736842,0.947368421,1.684210526,18.81578947,12.92105263,9.710526316,7.026315789,2.078947368,7.263157895,19.26315789,12,1.815789474,7.394736842,12.81578947,31.63157895,23.65789474,451.4473684,49.31578947,148.9736842,194.5789474,113.2631579,15.02631579,451.1315789,15.36842105,14.21052632,10.73684211,220.0789474,21.42105263,17.71052632,13.02631579,53.21052632,14.23684211,19.21052632,1
Girona 2017 - 2018,La Liga,46.8,1.331578947,1.168421053,0.905263158,4.605263158,3.131578947,0.289473684,1.521052632,20.97368421,3.5,1.197368421,295,89.2,1.581578947,1.131578947,0.386842105,11.76315789,3.921052632,0.007894737,0.5,-0.015789474,98.71052632,148.3947368,154.3421053,422.0263158,2385.289474,6205.684211,0.915789474,8.578947368,25.84210526,5.868421053,2.973684211,21.92105263,311.6578947,368.9473684,50.97368421,0.815789474,8.921052632,21.78947368,4.631578947,20.84210526,12.92105263,3.052631579,1.157894737,0.578947368,2.315789474,16.07894737,10.60526316,7.868421053,6.684210526,1.526315789,6.315789474,15.94736842,9.631578947,2.210526316,6.447368421,12.89473684,28.97368421,22.57894737,523.0789474,52.44736842,171.6842105,239.6842105,117.8947368,17.23684211,522.8684211,16.94736842,12.5,9.710526316,307.5263158,21.39473684,16.18421053,13.07894737,52.13157895,16.92105263,15.71052632,3
La Coruña 2017 - 2018,La Liga,46.8,1.357894737,1.255263158,1.052631579,4.710526316,2.763157895,0.157894737,1.639473684,15.76315789,3.894736842,1.047368421,330,73,1.405263158,0.342105263,0.292105263,12.15789474,3.5,0.006842105,0.473684211,-0.357894737,87.42105263,157,178.1578947,446.7105263,2451.105263,6275.842105,0.923684211,9.026315789,28.68421053,7.157894737,2.236842105,26.52631579,336.4210526,392.7368421,51.5,1.131578947,5.842105263,19.65789474,5.342105263,21.68421053,15.05263158,2.368421053,1.368421053,0.631578947,1.789473684,19.15789474,13.15789474,10.15789474,7.421052632,1.578947368,7.684210526,17.86842105,10.18421053,2.973684211,7.315789474,12.73684211,31.89473684,24.78947368,551.7105263,55.73684211,179.2894737,247.2105263,131.3421053,19.26315789,551.5789474,16.36842105,12.13157895,9.947368421,332.4736842,25.86842105,13.34210526,11.47368421,54.57894737,14.68421053,15.36842105,3
Las Palmas 2017 - 2018,La Liga,54.7,1.013157895,0.85,0.652631579,5.657894737,3.736842105,0.131578947,1.939473684,14.71052632,6.289473684,0.863157895,324,53.7,1.205263158,1.736842105,0.426315789,10.65789474,3.131578947,0.003947368,0.542105263,-0.381578947,78.89473684,182.0263158,229.6578947,520.7368421,2634.078947,7112.473684,0.731578947,7.710526316,27.10526316,6.710526316,1.605263158,24.68421053,416.4210526,462.4736842,56.13157895,1.289473684,5.184210526,15.28947368,4.605263158,19.42105263,13.63157895,1.657894737,1.342105263,0.5,1.105263158,17.21052632,11.39473684,8.552631579,7.078947368,1.578947368,7.052631579,17.02631579,9.973684211,2.947368421,6.710526316,13.36842105,30.57894737,18.76315789,620.7631579,63.47368421,203.0789474,298.3421053,126.8421053,16.15789474,620.5526316,18.78947368,14.97368421,12.05263158,411.7105263,24.18421053,12.73684211,17.5,52.57894737,12.47368421,14.21052632,0
Leganés 2017 - 2018,La Liga,43,1.05,0.989473684,0.789473684,4.105263158,2.763157895,0.368421053,1.363157895,25.34210526,2.473684211,1.302631579,285,96.1,1.673684211,1.289473684,0.410526316,10.34210526,3.289473684,0.006315789,0.507894737,-0.207894737,85.34210526,125.4473684,157.6052632,391.7631579,2205,5103.736842,0.710526316,7.657894737,24.36842105,5,1.973684211,21.07894737,273.2368421,336.3421053,52.86842105,0.763157895,4.263157895,18.15789474,4,17.97368421,11.02631579,2.131578947,1.263157895,0.947368421,1.5,18.97368421,12.71052632,9.210526316,8.078947368,1.684210526,8.5,18.34210526,9.842105263,2.289473684,7.210526316,15.34210526,34.31578947,20.44736842,494.8947368,49.89473684,168.8421053,222.6842105,110.3947368,14.73684211,494.8157895,16,14.71052632,11.92105263,269.1052632,20.65789474,15.57894737,13.23684211,56.31578947,17.18421053,16.5,1
Levante 2017 - 2018,La Liga,42.8,1.176315789,1.073684211,0.836842105,4.789473684,3.342105263,0.263157895,1.521052632,19.60526316,2.973684211,1.186842105,330,84.2,1.484210526,1.105263158,0.413157895,10.65789474,3.131578947,0.008421053,0.510526316,-0.044736842,79.60526316,134.6315789,151.0526316,388.6315789,2221.842105,5264.684211,0.592105263,7.552631579,25.76315789,7.157894737,2.289473684,24.55263158,281.9736842,335.0526316,51.73684211,1.157894737,4.236842105,19.10526316,4.789473684,19.18421053,12.94736842,1.710526316,1.578947368,0.789473684,2.078947368,16.21052632,10.89473684,8.631578947,5.842105263,1.736842105,6.289473684,16.44736842,10.15789474,3.342105263,7.052631579,12.55263158,28.76315789,21.34210526,489.8947368,57.15789474,161.3947368,215.2368421,119.4473684,17.42105263,489.7631579,18.02631579,15.05263158,11.71052632,278.0263158,23.92105263,14.57894737,11.73684211,51.76315789,12.31578947,14.71052632,1
Málaga 2017 - 2018,La Liga,44.1,1.010526316,0.886842105,0.692105263,4.473684211,2.842105263,0.157894737,1.752631579,21.63157895,2.394736842,1.231578947,312,92.9,1.602631579,0.526315789,0.307894737,10.44736842,2.842105263,0.004736842,0.492105263,-0.405263158,88.44736842,142.2368421,160.2368421,414.9736842,2366.815789,5673.657895,0.621052632,7.657894737,24.97368421,5.605263158,2.552631579,21.97368421,300.6315789,359.8421053,52.78947368,0.842105263,4.710526316,19.52631579,4.026315789,18.07894737,11,2.236842105,1.605263158,0.842105263,0.894736842,19.60526316,13.39473684,10.07894737,7.263157895,2.263157895,7.157894737,18.60526316,11.44736842,2.657894737,6.868421053,13.07894737,32.68421053,23.42105263,521.5,54.97368421,170.8157895,241.1052632,115.7894737,14.23684211,521.3421053,15.42105263,15.15789474,12.36842105,296.9210526,21.28947368,16.13157895,11.63157895,54.89473684,15.84210526,19.44736842,1
Real Madrid 2017 - 2018,La Liga,60.2,2.247368421,2.039473684,1.652631579,3.789473684,2.631578947,0.263157895,1.194736842,7.289473684,4.842105263,0.797368421,243,51,1.165789474,0.947368421,0.394736842,18.13157895,7.026315789,0.008157895,0.455263158,0.147368421,87.07894737,224.7631579,300.5263158,644.6315789,3162.973684,9436.315789,1.547368421,14.47368421,48.55263158,13.47368421,3.210526316,40.26315789,551.4210526,591.7368421,49.86842105,2.026315789,10.39473684,23.78947368,7.342105263,33.97368421,26.13157895,2.131578947,2.157894737,0.657894737,4.342105263,18.07894737,12.36842105,8.342105263,7.236842105,2.5,6.631578947,16.34210526,9.710526316,2.184210526,7.342105263,11.15789474,29.23684211,14.10526316,737.3684211,50.07894737,183.7368421,346.8421053,214.4210526,31.84210526,737.1315789,19.78947368,12.10526316,10.36842105,546.5263158,39.71052632,11.47368421,13.60526316,54.92105263,10.68421053,9.710526316,2
Real Sociedad 2017 - 2018,La Liga,56.5,1.413157895,1.307894737,1.023684211,3.947368421,2.368421053,0.263157895,1.392105263,14.71052632,3.921052632,0.855263158,246,57.7,1.152631579,1.289473684,0.386842105,13.57894737,4.342105263,0.009473684,0.492105263,0.271052632,88.36842105,208.6052632,222.3157895,548.3684211,2804.605263,8042.763158,0.936842105,10.23684211,32.97368421,8.236842105,2.710526316,28.36842105,446.6578947,493.2631579,52.71052632,1.184210526,5.684210526,20.57894737,6.131578947,24.39473684,17.05263158,2.342105263,1.710526316,0.552631579,2.842105263,14.39473684,9.842105263,6.552631579,6,1.842105263,5.973684211,14.10526316,8.131578947,2.394736842,7.263157895,11.73684211,26.13157895,17.5,644.5,62.89473684,198.9736842,299.4210526,152.6578947,21.5,644.3684211,16.39473684,14.55263158,11.76315789,441.9473684,27.94736842,11.02631579,14.15789474,53.63157895,13.10526316,12.28947368,0
Sevilla 2017 - 2018,La Liga,54.3,1.565789474,1.465789474,1.126315789,3.947368421,2.421052632,0.368421053,1.360526316,11.97368421,4.947368421,0.871052632,290,65.5,1.292105263,0.684210526,0.326315789,13.44736842,4.578947368,0.006578947,0.465789474,-0.302631579,78.23684211,194.8421053,237.3947368,541.3421053,2814.842105,7378.947368,0.971052632,10.39473684,34.31578947,9.026315789,1.473684211,34.36842105,430.6842105,485.5526316,52.18421053,1.631578947,3.868421053,17.28947368,5.815789474,24.31578947,17.89473684,1.973684211,1.526315789,0.684210526,2.368421053,20.21052632,14.07894737,9.315789474,8.552631579,2.342105263,7.789473684,18.02631579,10.23684211,3,8.026315789,10.76315789,30.97368421,22.34210526,645.5263158,55.34210526,190.7894737,306.0789474,155.9736842,24.92105263,645.3947368,17.39473684,13.13157895,11.31578947,426.2631579,33.65789474,14.78947368,12.97368421,56.02631579,15.31578947,13.26315789,0
Valencia 2017 - 2018,La Liga,48.6,1.473684211,1.310526316,1.05,4.315789474,3.263157895,0.315789474,1.334210526,14.10526316,4.763157895,1,311,77.2,1.468421053,0.263157895,0.263157895,12.44736842,4.605263158,0.008157895,0.492105263,0.184210526,76.71052632,187.2105263,186.8684211,473.7894737,2591.552632,6900.526316,0.881578947,9.315789474,32.18421053,8.078947368,1.973684211,30.65789474,376.0263158,422.4736842,49.13157895,1.289473684,5.078947368,15.92105263,5.315789474,22.52631579,15.71052632,1.973684211,1.868421053,0.552631579,2.947368421,19.60526316,12.94736842,10.71052632,7.026315789,1.868421053,8.131578947,18.21052632,10.07894737,2.842105263,8.105263158,12.07894737,31.68421053,23.94736842,582.3157895,57.15789474,186.8421053,270.7105263,131.7894737,19.34210526,582.1052632,18.39473684,14.18421053,12.5,372.1578947,30.02631579,13.63157895,14.42105263,53.23684211,14.05263158,12.10526316,0
Villarreal 2017 - 2018,La Liga,50.4,1.4,1.297368421,1.105263158,4.131578947,2.736842105,0.289473684,1.336842105,14,4.842105263,0.934210526,332,74.4,1.389473684,0.947368421,0.323684211,12.36842105,4.263157895,0.008421053,0.507894737,0.073684211,81.55263158,185.0789474,205.3947368,494.6578947,2691.368421,7153.894737,0.836842105,9.789473684,30.44736842,6.473684211,1.578947368,28.81578947,394.6052632,443,48.73684211,1.5,4.815789474,13.60526316,4.710526316,21.86842105,15.71052632,1.684210526,1.815789474,0.789473684,2.5,18.71052632,12.26315789,9.368421053,7.315789474,2.026315789,7.289473684,18.42105263,11.13157895,3.447368421,8.315789474,11.23684211,29.94736842,26.92105263,602.4210526,60.52631579,200.5263158,282.7368421,125.2368421,18.31578947,602.2894737,15.13157895,12.21052632,10.34210526,390.6315789,28.42105263,15.73684211,12.05263158,53.18421053,14.55263158,14.02631579,0
Atalanta 2017 - 2018,Serie A,55.4,1.686842105,1.505263158,1.176315789,3.105263158,2.052631579,0.289473684,1.034210526,12.21052632,5.131578947,0.886842105,283,76.3,1.378947368,0.789473684,0.378947368,15,5.052631579,0.007105263,0.444736842,-0.186842105,88.15789474,213.3157895,225.3947368,560.7368421,2837.447368,8043.815789,1.102631579,11.60526316,36.15789474,11,2.394736842,36.92105263,446.1315789,505.8684211,52.78947368,0.789473684,7.578947368,19.76315789,6.052631579,26.78947368,18.84210526,2.447368421,1.842105263,0.710526316,2.578947368,19.07894737,12.84210526,8.789473684,8.236842105,2.052631579,7.157894737,17.10526316,9.947368421,2.815789474,8.5,12.52631579,31.60526316,21.57894737,669.5263158,51.02631579,180.8421053,315.1315789,180.5789474,26.31578947,669.2894737,18.52631579,15.76315789,11.81578947,441.2631579,36.21052632,12.89473684,12.23684211,64.97368421,14.81578947,13.65789474,0
Benevento 2017 - 2018,Serie A,47.5,1.007894737,0.947368421,0.757894737,5.5,3.342105263,0.105263158,2.097368421,16.52631579,5.815789474,0.963157895,344,63.1,1.215789474,1.342105263,0.378947368,12.36842105,3.815789474,0.005526316,0.521052632,-0.165789474,79.23684211,177.1842105,188.3421053,472.1842105,2419,6729.815789,0.639473684,9.236842105,23.92105263,5.394736842,2.131578947,22.73684211,375.7105263,420.1578947,49.84210526,1,4.447368421,17.39473684,4.368421053,21.63157895,15.10526316,1.868421053,1.578947368,0.605263158,1.5,15.28947368,10.76315789,8.421052632,5.421052632,1.447368421,5.026315789,14.5,9.473684211,3.684210526,6.789473684,11.81578947,27.10526316,24.34210526,576.6052632,67.07894737,210.7105263,258.2105263,115.5,14.92105263,576.5263158,17.5,14.23684211,11.18421053,370.7368421,22.36842105,12.78947368,12.23684211,49.78947368,10.78947368,13.18421053,3
