Squad,League,Avg. Possession,Expected Goals,NP Expected Goals,Expected Assisted Goals,Shots on Target Against,Saves Made,Clean Sheets,GK Post-Shot Expected Goals,GK Passes Attempted > 40 yards,GK Throws Attempted,GK Avg. Length of Passes,GK Goal Kicks Attempted,GK % of Goal Kicks > 40 yards,GK Avg. Length of Goal Kicks,GK # of Def. Actions Outside Box,GK Avg. Distance from Goal of Def. Actions,Total Shots,Shots on Target,Goals per Shot on Target,Avg. Distance from Goal Shooting,Goals Minus Expected Goals,Long Passes Attempted,Medium Passes Attempted,Short Passes Attempted,Total Passes Attempted,Progressive Distance of Passes,Total Distance of Passes,Expected Assists,Key Passes (directly lead to shot),Completed Passes into Final Third,Completed Passes into Box,Completed Crosses into Box,Progressive Passes,Total Passes Completed,Live Ball Passes,Dead Ball Passes,Passes Completed by Defenders into Open Space,Switches > width of 40 yards,Crosses,Corner Kicks,Shot Creating Actions,Live Ball Passes Leading to Shot,Dead Ball Passes Leading to Shot,Dribbles Leading to Shot,Def. Actions Leading to Shot,Goal Creating Actions,# of Players Tackled,Tackles Leading to Possession,Tackles in Def. Third,Tackles in Mid. Third,Tackles in Att. Third,# of Dribblers Tackled,# of Times Dribbled Past + Tackles,# of Times Dribbled Past,# of Shots Blocked,# of Passes Blocked,Interceptions,Tackles + Interceptions,Clearances,Touches,Touches in Own Box,Touches in Def. Third,Touches in Mid. Third,Touches in Att. Third,Touches in Opp. Box,Live Ball Touches,Attempted Dribbles,Miscontrol,Dispossessed,Passes Received,Progressive Passes Received,Fouls Committed,Fouls Drawn,Loose Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,label
Arsenal 2021 - 2022,Premier League,52.8,1.771052632,1.639473684,1.221052632,3.868421053,2.631578947,0.342105263,1.252631579,14.02631579,4.605263158,0.876315789,218,73.4,1.428947368,1.605263158,0.410526316,15.28947368,4.894736842,0.007894737,0.468421053,-0.192105263,68,214.2105263,216.0526316,522.2105263,2397.473684,7391.263158,0.910526316,11.5,35.63157895,8.657894737,1.947368421,28.42105263,425.6842105,477.6315789,42.84210526,2.026315789,3.473684211,16.65789474,5.473684211,26.89473684,20.31578947,1.736842105,1.447368421,0.631578947,2.552631579,14.21052632,8.184210526,6.868421053,5.131578947,2.210526316,6.421052632,13.15789474,6.736842105,3.236842105,6.921052632,7.789473684,22,17.31578947,621.7894737,58.65789474,187.7894737,271,168.3947368,25.31578947,621.6052632,15.52631579,14.65789474,8.842105263,420.7368421,27.84210526,9.605263158,9.394736842,48.97368421,12.18421053,15.05263158,0
Aston Villa 2021 - 2022,Premier League,46.5,1.260526316,1.207894737,0.997368421,3.921052632,2.526315789,0.289473684,1.223684211,11.63157895,4.631578947,0.884210526,301,40.2,0.921052632,0.894736842,0.389473684,12.13157895,4.184210526,0.007894737,0.463157895,0.055263158,67.65789474,161.4736842,179.0263158,434.1842105,2248.552632,5815.131579,0.789473684,9.368421053,26.81578947,7.710526316,1.842105263,24.63157895,335.4736842,384.6052632,48.21052632,1.868421053,2.552631579,17.63157895,5.157894737,21.86842105,15.68421053,2.210526316,1.263157895,0.368421053,2.421052632,16.68421053,10.05263158,7.894736842,6.815789474,1.973684211,7.894736842,17.07894737,9.184210526,3.684210526,8.236842105,8.947368421,25.63157895,18.23684211,538.7894737,63.39473684,180.7631579,232.7368421,131.1315789,21.47368421,538.7105263,15.44736842,15.65789474,9.052631579,330.9473684,24.10526316,10.55263158,13.26315789,48.68421053,14.15789474,14.76315789,1
Brentford 2021 - 2022,Premier League,44.8,1.344736842,1.221052632,0.963157895,4.710526316,3.289473684,0.236842105,1.3,20.21052632,4.842105263,0.931578947,298,61.4,1.197368421,1.526315789,0.431578947,11.47368421,3.710526316,0.007368421,0.428947368,-0.134210526,75.05263158,161.0526316,166.1052632,428.2105263,2262.368421,5575.447368,0.889473684,8.184210526,24.78947368,6.894736842,2.131578947,23.57894737,307.2631579,380.0789474,46.39473684,1.315789474,1.842105263,16.84210526,4.184210526,19.57894737,12.73684211,2.5,0.947368421,0.657894737,2.052631579,15.97368421,9,7.868421053,6,2.105263158,7.657894737,16.21052632,8.552631579,2.973684211,7.105263158,10.34210526,26.31578947,22.71052632,535.2631579,73.42105263,206.5263158,214.6315789,118.8157895,21.23684211,535.1052632,12.52631579,14.81578947,7.657894737,302.4210526,22.86842105,9.763157895,9.552631579,54.23684211,18.86842105,19.15789474,1
Brighton 2021 - 2022,Premier League,54.4,1.394736842,1.25,0.981578947,3.842105263,2.684210526,0.289473684,1.118421053,14.94736842,4.947368421,0.863157895,241,64.3,1.284210526,0.947368421,0.336842105,12.68421053,3.710526316,0.006842105,0.465789474,-0.342105263,77.73684211,215.9736842,215.0526316,541.7894737,2510,7601.342105,0.828947368,9.368421053,31.23684211,9,1.894736842,28,431.8421053,495.7368421,44.65789474,1.526315789,4,19.15789474,5.263157895,23,16.34210526,2.184210526,1.210526316,0.815789474,1.921052632,17.57894737,10.60526316,8.052631579,6.763157895,2.763157895,6.394736842,14.81578947,8.421052632,3.947368421,8.684210526,9.421052632,27,19.02631579,649.2894737,69.36842105,211.2368421,275.2631579,168.4473684,22.65789474,649.1052632,14.71052632,15.73684211,9.184210526,426.1578947,27.44736842,10.34210526,9.342105263,56.68421053,14.97368421,13.10526316,0
Burnley 2021 - 2022,Premier League,40.2,1.152631579,1.126315789,0.897368421,4.684210526,3.342105263,0.236842105,1.25,22.89473684,4.052631579,1.223684211,304,91.1,1.613157895,2.210526316,0.457894737,10.65789474,3.131578947,0.006842105,0.452631579,-0.310526316,84.63157895,117.6842105,140.1842105,371.2368421,2110.526316,4704.763158,0.736842105,7.526315789,23.07894737,6.315789474,2.210526316,19.18421053,248.7631579,323.0263158,45.55263158,0.842105263,3.552631579,19.65789474,4.815789474,17.94736842,11.81578947,2.131578947,0.736842105,0.657894737,1.552631579,15.52631579,8.526315789,7.184210526,6.184210526,2.157894737,6.578947368,14.05263158,7.473684211,5.552631579,7.842105263,10.78947368,26.31578947,23.34210526,480.1842105,58.94736842,153.2631579,210.4210526,122.0789474,17.34210526,480.1315789,12.60526316,14.18421053,7.657894737,244.2631579,18.63157895,10.36842105,8.736842105,53.34210526,21.76315789,19.28947368,1
Chelsea 2021 - 2022,Premier League,61.8,1.860526316,1.684210526,1.355263158,3.026315789,2.184210526,0.421052632,0.831578947,5.842105263,4.815789474,0.671052632,198,26.3,0.663157895,1.421052632,0.405263158,15.34210526,5.263157895,0.008947368,0.457894737,0.113157895,66.15789474,245.3157895,305.7105263,654.9473684,2976.210526,9008.552632,1.121052632,11.55263158,42.47368421,11.5,1.736842105,35.36842105,557.6315789,609.4210526,43.71052632,2.026315789,2.657894737,19.60526316,6.342105263,28.02631579,21.18421053,1.631578947,1.236842105,0.736842105,3.473684211,16.34210526,9.157894737,7.026315789,7.078947368,2.236842105,6.763157895,14.92105263,8.157894737,2.526315789,8.210526316,9.131578947,25.47368421,16.86842105,757.0263158,59.73684211,207.8947368,351.1052632,204.3157895,27.71052632,756.7894737,16.42105263,15.55263158,10.07894737,550.5789474,34.57894737,10.76315789,10.31578947,54.84210526,14.15789474,12.78947368,2
Crystal Palace 2021 - 2022,Premier League,51.1,1.415789474,1.252631579,0.965789474,3.789473684,2.605263158,0.315789474,1.013157895,9.868421053,5.842105263,0.752631579,267,39.3,0.860526316,1.131578947,0.397368421,10.63157895,3.684210526,0.008157895,0.423684211,-0.1,75.55263158,200.2631579,197.2368421,502.1315789,2434.5,6987.842105,0.794736842,8.026315789,26.05263158,7.105263158,1.973684211,24,394.2894737,450.3947368,50.07894737,1.052631579,3.157894737,16.92105263,4.605263158,18.73684211,12.94736842,1.631578947,1.157894737,0.657894737,2.052631579,16.73684211,9.815789474,8.473684211,6.210526316,2.052631579,7.184210526,15.13157895,7.947368421,3.552631579,8.342105263,8.763157895,25.5,20.02631579,612.6315789,72.47368421,229.8947368,261.1315789,128.1315789,19.31578947,612.4210526,18.10526316,17.65789474,12.39473684,388.9736842,23.36842105,10.89473684,12.65789474,55.34210526,16.05263158,16.28947368,0
Everton 2021 - 2022,Premier League,40,1.25,1.107894737,0.881578947,4.947368421,3.342105263,0.210526316,1.471052632,22.21052632,3.263157895,1.223684211,298,80.5,1.565789474,0.973684211,0.378947368,11.31578947,3.421052632,0.007368421,0.465789474,-0.144736842,71.15789474,128.9736842,154.1842105,383.0789474,2004,4863.157895,0.660526316,8.5,23.60526316,6.710526316,2.026315789,21.10526316,272.7631579,335.4210526,46.26315789,0.789473684,1.842105263,17.18421053,4.236842105,19.39473684,13.78947368,1.763157895,1.131578947,0.421052632,1.763157895,18.55263158,10.57894737,9.710526316,6.631578947,2.210526316,8.842105263,19.34210526,10.5,3.684210526,9.368421053,9.605263158,28.15789474,21.44736842,498.3421053,60.18421053,168.3947368,206.4736842,129.7894737,19.07894737,498.1578947,16.68421053,16.84210526,8.552631579,268.4736842,20.63157895,9.684210526,10.21052632,53.23684211,16.68421053,19.07894737,1
Leeds United 2021 - 2022,Premier League,52.3,1.326315789,1.223684211,0.942105263,5.894736842,3.842105263,0.131578947,1.642105263,10.86842105,7.263157895,0.771052632,291,37.1,0.873684211,1.236842105,0.378947368,12.63157895,3.736842105,0.006842105,0.481578947,-0.221052632,72.47368421,185.5263158,191.7105263,481.2631579,2346.184211,6385.868421,0.660526316,9.131578947,26.18421053,7.157894737,1.394736842,29.07894737,368.1052632,432.4210526,47.18421053,1.736842105,3.684210526,17.05263158,4.473684211,22.13157895,15.26315789,1.842105263,1.342105263,1,1.736842105,20.68421053,11.47368421,10.39473684,7.842105263,2.447368421,10.73684211,23.31578947,12.57894737,3.763157895,8.684210526,10.39473684,31.07894737,16.36842105,593.7105263,68.92105263,224.3421053,248.3421053,127.4473684,20.52631579,593.5789474,17.23684211,17.78947368,7.842105263,362.6052632,28.34210526,12.34210526,9.684210526,59.47368421,12.36842105,16.47368421,3
Leicester City 2021 - 2022,Premier League,52,1.371052632,1.331578947,0.986842105,5.052631579,3.473684211,0.184210526,1.497368421,12.92105263,4.578947368,0.892105263,298,42.3,0.976315789,1.026315789,0.386842105,11.39473684,4.315789474,0.009736842,0.468421053,0.260526316,67.92105263,199.4473684,231.2894737,529.9210526,2479.315789,7093.342105,0.707894737,8.210526316,26.97368421,6.684210526,1.5,26.5,424.4473684,480.7368421,47.60526316,1.710526316,2.763157895,14.63157895,4.868421053,19.71052632,14.65789474,1.078947368,1.236842105,0.815789474,2.815789474,18.15789474,10.10526316,8.842105263,7.105263158,2.210526316,8.052631579,18.94736842,10.89473684,3.842105263,8.5,9.657894737,27.81578947,20.44736842,636.9736842,72.86842105,224.6578947,289.7894737,128.2105263,19.23684211,636.9210526,14.39473684,15.81578947,9.684210526,419.3947368,25.81578947,9.368421053,10.42105263,53.02631579,13.94736842,14.55263158,0
Liverpool 2021 - 2022,Premier League,62.7,2.502631579,2.35,1.786842105,2.815789474,2.157894737,0.552631579,0.7,7.052631579,5.894736842,0.684210526,185,31.4,0.860526316,2.421052632,0.492105263,18.97368421,6.236842105,0.009736842,0.439473684,-0.028947368,84.5,278.1315789,276.4736842,672.4210526,3345,9753.184211,1.478947368,13.86842105,49.42105263,13.44736842,2.421052632,43.84210526,556.9210526,624.7894737,45.97368421,2.947368421,4.394736842,23.60526316,7.421052632,32.60526316,23.52631579,2.763157895,1.631578947,0.657894737,4.263157895,14.57894737,8.421052632,5.447368421,6.315789474,2.815789474,6.131578947,15.15789474,9.026315789,1.947368421,7.5,8.947368421,23.52631579,13.76315789,773.3684211,55.97368421,189,371.6842105,218.5526316,35.73684211,773.1578947,16.71052632,15.52631579,9.631578947,551,42.76315789,9.552631579,7.526315789,59.60526316,15.02631579,12.28947368,2
Manchester City 2021 - 2022,Premier League,67.9,2.542105263,2.35,1.855263158,2.236842105,1.552631579,0.552631579,0.678947368,4.947368421,4.5,0.673684211,145,19.3,0.694736842,1.526315789,0.497368421,18.52631579,6.236842105,0.01,0.428947368,-0.015789474,76.18421053,293.7368421,331.7105263,734.2631579,3104.605263,10857.81579,1.502631579,14.10526316,55.52631579,14.07894737,1.947368421,41.81578947,642.2631579,690.5,42.02631579,2.684210526,5.052631579,22.86842105,8.315789474,33.84210526,25.97368421,2.052631579,1.815789474,0.578947368,4.157894737,13.10526316,7.473684211,4.815789474,5.631578947,2.657894737,5.973684211,13.39473684,7.421052632,1.447368421,5.578947368,7.342105263,20.44736842,10.60526316,821.5263158,48.52631579,172.6578947,401.1578947,253.2368421,39.26315789,821.2894737,19.5,13.07894737,8.315789474,634.5263158,40.89473684,8.447368421,8.684210526,51.76315789,12.68421053,10.44736842,2
Manchester Utd 2021 - 2022,Premier League,52.7,1.623684211,1.521052632,1.257894737,4.736842105,3.263157895,0.210526316,1.45,8.289473684,3.526315789,0.813157895,299,42.8,0.944736842,0.657894737,0.368421053,13.23684211,4.710526316,0.007894737,0.465789474,-0.15,69.10526316,195.6842105,243,543.1842105,2449.842105,7375.236842,0.976315789,10.71052632,34.60526316,8.210526316,1.710526316,29.47368421,439.2105263,496.3684211,44.5,2.105263158,4.921052632,17.34210526,5.184210526,24.18421053,18.47368421,1.710526316,1.5,0.5,2.789473684,15.39473684,9.421052632,8.421052632,5.184210526,1.789473684,6.973684211,16,9.026315789,3.5,7.131578947,8.947368421,24.34210526,18.52631579,644.4736842,59.44736842,194.1578947,291.3421053,164.7368421,23.02631579,644.3421053,16.60526316,14.15789474,8.763157895,434.4736842,28.97368421,10.42105263,8.421052632,54.5,14.60526316,11.65789474,0
Newcastle Utd 2021 - 2022,Premier League,40.4,1.168421053,1.107894737,0.8,4.342105263,2.736842105,0.210526316,1.376315789,19.10526316,3.342105263,1.018421053,337,86.4,1.536842105,0.473684211,0.3,11.73684211,3.736842105,0.007105263,0.476315789,-0.089473684,72.26315789,128.4210526,142.9473684,369.3684211,2044,4957.184211,0.613157895,8.105263158,20.81578947,5.078947368,1.447368421,16.86842105,268.4473684,321.1315789,46.36842105,0.815789474,3,15.57894737,4.210526316,20.02631579,13.05263158,2.105263158,1.605263158,0.657894737,1.868421053,17.31578947,10.05263158,8.763157895,7,1.552631579,8,16.86842105,8.868421053,4.263157895,6.815789474,9.473684211,26.78947368,20.42105263,477.8421053,60.86842105,176.5263158,195.4736842,112.5,18.81578947,477.7631579,16.63157895,16.36842105,9.447368421,263.7105263,16.31578947,10.31578947,9.631578947,48.28947368,17.81578947,16.28947368,1
Norwich City 2021 - 2022,Premier League,42.9,0.939473684,0.876315789,0.692105263,5.842105263,3.657894737,0.157894737,1.778947368,13.89473684,5.657894737,0.902631579,310,45.5,1.013157895,0.868421053,0.365789474,9.736842105,2.736842105,0.004473684,0.5,-0.386842105,72.55263158,156.5526316,170.6315789,422.8947368,2107.473684,5710.710526,0.623684211,6.947368421,19.44736842,5.947368421,1.210526316,20.47368421,320.1052632,373.0526316,48.39473684,1.315789474,4.026315789,14.94736842,4.342105263,16.73684211,11.15789474,1.763157895,1.026315789,0.605263158,1.026315789,16.15789474,9.684210526,8.473684211,6.368421053,1.315789474,7.815789474,18.78947368,10.97368421,4.736842105,7.105263158,10.02631579,26.18421053,22.63157895,529.0263158,76.42105263,216.3421053,210.8157895,108.1842105,15.57894737,528.9473684,15.28947368,14.42105263,8.236842105,314.6578947,19.84210526,9.368421053,11.34210526,49.65789474,12.97368421,15.73684211,1
Southampton 2021 - 2022,Premier League,47.7,1.313157895,1.228947368,0.942105263,4.815789474,3.105263158,0.210526316,1.505263158,16.10526316,3.921052632,0.984210526,278,72.3,1.323684211,0.868421053,0.305263158,12.57894737,4.236842105,0.006052632,0.465789474,-0.234210526,68.18421053,160.3421053,188.7631579,445.7894737,2108.131579,5552.921053,0.755263158,9.289473684,26.73684211,6.552631579,1.526315789,25.5,329.0789474,397.7368421,46.94736842,1.157894737,2.131578947,18.71052632,6.131578947,21.65789474,15.28947368,1.789473684,1.131578947,0.815789474,1.868421053,15.84210526,8.947368421,7.5,6.394736842,1.947368421,6.526315789,15.31578947,8.789473684,3.473684211,7.842105263,11.73684211,27.57894737,20.92105263,560.5526316,58.26315789,171.8157895,246.3421053,149.0526316,21.52631579,560.4473684,16.42105263,16.52631579,9.605263158,323.8421053,24.76315789,10.57894737,9.552631579,58.52631579,17.71052632,19.10526316,1
Tottenham 2021 - 2022,Premier League,51.8,1.75,1.647368421,1.323684211,3.605263158,2.578947368,0.421052632,0.989473684,7.342105263,4.236842105,0.815789474,278,28.4,0.697368421,1.184210526,0.373684211,12.78947368,4.868421053,0.008157895,0.439473684,-0.092105263,62.39473684,205.5789474,240.6052632,544.6315789,2459.789474,7470.289474,1.086842105,9.973684211,30.84210526,8.894736842,2.131578947,29.23684211,452.7368421,499.3684211,43.63157895,2.315789474,3.5,16.63157895,5.078947368,23.15789474,17.52631579,1.342105263,1.210526316,0.578947368,3.105263158,15.73684211,9.184210526,7.526315789,6.421052632,1.789473684,6.894736842,15.36842105,8.473684211,4.236842105,8.131578947,9.342105263,25.07894737,20.86842105,650.0263158,66.15789474,210.4210526,299.8684211,146.2631579,22.44736842,649.8947368,17.55263158,15.47368421,8.973684211,447.5526316,28.73684211,10.15789474,10.68421053,49.81578947,14.73684211,13.15789474,0
Watford 2021 - 2022,Premier League,40.7,1.165789474,1.123684211,0.95,4.947368421,2.973684211,0.105263158,1.586842105,21.81578947,3.236842105,1.144736842,310,83.9,1.5,1.289473684,0.418421053,10.44736842,3.236842105,0.006842105,0.476315789,-0.297368421,76.39473684,140.1315789,144.6315789,385.2631579,2106.657895,5103.710526,0.589473684,7.842105263,21.94736842,5.605263158,1.842105263,20.60526316,274.2894737,336.8421053,47.02631579,0.921052632,2.657894737,16.05263158,4.236842105,18.21052632,12.23684211,1.526315789,1.236842105,0.710526316,1.578947368,16.15789474,9.368421053,8.973684211,5.605263158,1.578947368,7.315789474,16.47368421,9.157894737,3.894736842,7.684210526,11.68421053,27.84210526,23.65789474,500.8947368,65.02631579,190.2105263,204.7631579,112.3947368,16.07894737,500.8421053,19.76315789,16.81578947,10.23684211,269.2105263,19.84210526,11.63157895,9.263157895,56.68421053,18.71052632,19.71052632,1
West Ham 2021 - 2022,Premier League,47.9,1.526315789,1.413157895,1.115789474,4.342105263,2.973684211,0.210526316,1.263157895,14.55263158,4.394736842,1.013157895,291,60.1,1.173684211,0.315789474,0.268421053,11.65789474,3.736842105,0.01,0.436842105,0,76.47368421,180.4210526,197.1578947,483.6052632,2347.105263,6608.921053,0.852631579,8.421052632,29.10526316,7.131578947,2.289473684,24.76315789,376.9736842,438.0526316,44,0.763157895,3.842105263,21.10526316,5.263157895,20.42105263,14.86842105,1.763157895,1.210526316,0.552631579,2.684210526,14.05263158,7.921052632,7.184210526,5.236842105,1.631578947,6.315789474,14.65789474,8.342105263,4.605263158,6.447368421,9.842105263,23.89473684,20.57894737,583.6578947,64.15789474,184.0526316,262.0526316,143.4473684,21.21052632,583.5,14.34210526,13.71052632,7.710526316,372.3421053,24.05263158,8.5,7.263157895,51.84210526,16.81578947,16.52631579,3
Wolves 2021 - 2022,Premier League,49.5,1.084210526,1.068421053,0.763157895,4.394736842,3.289473684,0.289473684,1.297368421,11.13157895,5.789473684,0.913157895,275,42.2,0.960526316,1.078947368,0.352631579,10.55263158,3.5,0.006842105,0.489473684,-0.163157895,79.07894737,201.6842105,195.1315789,502.7105263,2443.394737,7252.842105,0.615789474,7.736842105,28.84210526,5.578947368,1.5,23.97368421,401.3947368,457.4210526,43.68421053,1.526315789,3.973684211,15.44736842,4.421052632,18.39473684,12.84210526,1.157894737,1.684210526,0.921052632,1.578947368,17.71052632,9.921052632,9.921052632,6.368421053,1.421052632,7.184210526,17.65789474,10.47368421,3.552631579,7.947368421,10.23684211,27.94736842,21.57894737,610.1052632,69.97368421,222.4473684,266.8684211,127.2368421,18.34210526,610.0789474,20.28947368,15.73684211,8.973684211,395.7368421,23.07894737,9.631578947,8.815789474,55.36842105,12.13157895,12.89473684,0
Alavés 2021 - 2022,La Liga,42,1.081578947,0.936842105,0.731578947,4.421052632,2.631578947,0.157894737,1.539473684,20.60526316,2.526315789,1.178947368,351,74.4,1.339473684,1.263157895,0.413157895,9.815789474,2.921052632,0.005526316,0.478947368,-0.318421053,83.10526316,130.3684211,136.1578947,373.0263158,2256.447368,5027.5,0.6,6.842105263,21.97368421,5.236842105,2.210526316,18.65789474,254.6315789,319.5263158,51.60526316,0.710526316,4.947368421,19.94736842,3.657894737,16.68421053,10.13157895,2.289473684,1,0.684210526,1.263157895,14.47368421,8.526315789,7.131578947,5.815789474,1.526315789,6.894736842,16.76315789,9.868421053,2.789473684,7.026315789,9.894736842,24.36842105,23.42105263,479.9210526,58.55263158,163.1578947,212,110.0789474,15.84210526,479.7368421,13.26315789,16.21052632,7.315789474,250.0526316,17.97368421,13.92105263,11.97368421,50.26315789,22.86842105,17.73684211,1
Athletic Club 2021 - 2022,La Liga,48.1,1.431578947,1.284210526,1.086842105,3.447368421,2.526315789,0.342105263,0.971052632,10.57894737,5.289473684,0.886842105,269,50.9,1.097368421,1.078947368,0.405263158,12.10526316,3.947368421,0.006578947,0.442105263,-0.378947368,74.47368421,169.3157895,179.6315789,454.8157895,2407.289474,6031.473684,0.947368421,9.236842105,27.78947368,8.052631579,2.157894737,30.02631579,340.7105263,399.8684211,52.60526316,1.105263158,4.842105263,21,5.894736842,21.52631579,15.10526316,2.447368421,1.157894737,0.473684211,1.894736842,13.36842105,7.684210526,5.710526316,5.684210526,1.973684211,5.894736842,15.31578947,9.421052632,3.368421053,7.447368421,8.921052632,22.28947368,20.73684211,556.9473684,54.44736842,163.5789474,249.7105263,149.3421053,21.13157895,556.7631579,13.94736842,14.97368421,8.973684211,336.0789474,29.47368421,12.81578947,12.71052632,55.21052632,15.39473684,15.05263158,1
Atlético Madrid 2021 - 2022,La Liga,50.6,1.542105263,1.455263158,1.126315789,2.789473684,1.710526316,0.315789474,0.852631579,15.73684211,4.078947368,1.026315789,283,68.6,1.278947368,0.763157895,0.363157895,12.05263158,4,0.010263158,0.460526316,0.115789474,80.52631579,164.8947368,218.1315789,502.5789474,2334.763158,6661.578947,1.042105263,9.131578947,26.02631579,8.552631579,1.736842105,27.57894737,396.7368421,449.5263158,50.81578947,2.105263158,6,18.5,5.289473684,21.78947368,15.39473684,2.263157895,1.447368421,0.552631579,2.947368421,16.73684211,9.105263158,7.631578947,7.342105263,1.763157895,7.710526316,16.28947368,8.578947368,2.578947368,7.210526316,9.605263158,26.34210526,17.07894737,602.3157895,52.78947368,178.1842105,281.1052632,148,22.42105263,602.1842105,15.78947368,14.60526316,9.289473684,391.5526316,27.07894737,12.44736842,13.23684211,52.68421053,14.71052632,14.18421053,3
Barcelona 2021 - 2022,La Liga,64.2,1.781578947,1.636842105,1.326315789,3.236842105,2.210526316,0.289473684,0.897368421,7.605263158,4.342105263,0.718421053,229,30.6,0.878947368,1,0.407894737,13.44736842,4.657894737,0.009210526,0.45,0.007894737,76.63157895,247.3947368,292.3421053,658.0526316,3024.552632,9454.736842,1.439473684,10.57894737,44.68421053,10.26315789,2.605263158,37.26315789,565.5,607.7105263,47.73684211,2.368421053,5.078947368,21,5.763157895,24.73684211,18.92105263,1.605263158,1.736842105,0.526315789,3.210526316,15.44736842,8.710526316,6.210526316,7.105263158,2.131578947,6.421052632,12.97368421,6.552631579,2.236842105,6.868421053,8.552631579,24,12.28947368,752.6052632,58.71052632,185.7894737,375.5,196.7894737,27.28947368,752.4210526,19.65789474,16.39473684,9.421052632,558.8421053,36.39473684,13.13157895,12.86842105,54.36842105,11.94736842,10.78947368,2
Betis 2021 - 2022,La Liga,53.7,1.552631579,1.428947368,1.113157895,3.473684211,2.473684211,0.342105263,1.028947368,14.39473684,4.131578947,0.947368421,275,54.2,1.155263158,1.078947368,0.371052632,13.39473684,4.789473684,0.007894737,0.484210526,0.026315789,75.60526316,192.3421053,218,511.6842105,2616.289474,7198.263158,0.923684211,10.39473684,29.89473684,7.736842105,1.342105263,28.94736842,413.2105263,460.8684211,48.94736842,1.736842105,4.763157895,14.39473684,4.578947368,23.57894737,17.28947368,1.973684211,1.447368421,0.578947368,2.421052632,17.42105263,10.31578947,8.473684211,6.868421053,2.078947368,8.526315789,18.28947368,9.763157895,2.947368421,7.210526316,9.5,26.92105263,20.44736842,619,60.63157895,192.4736842,286.6842105,145.1842105,21.60526316,618.8421053,17.23684211,15.47368421,9.578947368,407.2368421,28,12.76315789,12.36842105,50.21052632,13.28947368,13.44736842,0
Cádiz 2021 - 2022,La Liga,41.3,1.186842105,1.060526316,0.752631579,4.473684211,3.078947368,0.342105263,1.389473684,20.84210526,3.131578947,1.210526316,313,83.1,1.584210526,0.736842105,0.318421053,10.65789474,3.105263158,0.007105263,0.471052632,-0.265789474,86.63157895,133,132.3947368,379.3421053,2049,5147,0.760526316,7.289473684,21.81578947,6.131578947,3.157894737,19.34210526,266.7368421,327.8947368,49.63157895,0.973684211,4.815789474,22.76315789,4.763157895,18.10526316,11.84210526,2.263157895,1,0.684210526,1.421052632,17.02631579,10,9.105263158,6.263157895,1.657894737,7.921052632,18.71052632,10.78947368,2.789473684,7.473684211,10.86842105,27.89473684,20.21052632,486.3157895,58.34210526,171.4736842,206.6578947,113.7368421,16.73684211,486.1578947,13.65789474,15.15789474,7.657894737,262.1842105,18.81578947,12.84210526,11.81578947,54.65789474,15.81578947,18.23684211,1
Celta Vigo 2021 - 2022,La Liga,55.2,1.228947368,1.102631579,0.839473684,3.578947368,2.394736842,0.368421053,1.139473684,21.15789474,3.447368421,1.060526316,283,71,1.378947368,0.973684211,0.376315789,10.65789474,3.552631579,0.007894737,0.481578947,-0.097368421,88.57894737,205.1315789,210.0526316,541.8684211,2520.947368,7546.605263,0.831578947,7.526315789,29.07894737,7.5,2.210526316,26.65789474,421.2368421,488.8947368,50.78947368,1.578947368,4.447368421,20.21052632,4.394736842,18.68421053,14.18421053,1.105263158,0.657894737,0.526315789,1.894736842,18.31578947,10.76315789,8.526315789,7.342105263,2.447368421,7.526315789,20.05263158,12.52631579,2.394736842,8.736842105,9.894736842,28.21052632,16.68421053,648.1315789,59.81578947,196.3421053,308.5526316,148.7631579,18.73684211,647.9736842,15.55263158,15.05263158,8.157894737,415.5789474,26.23684211,13.34210526,12.18421053,56.42105263,15.86842105,18.31578947,0
Elche 2021 - 2022,La Liga,48.4,0.955263158,0.934210526,0.760526316,4.578947368,3.184210526,0.210526316,1.434210526,16.47368421,4.815789474,0.952631579,346,63.3,1.207894737,1.473684211,0.418421053,8.789473684,2.789473684,0.009473684,0.473684211,0.071052632,82.34210526,158.4210526,172.9473684,443.0526316,2449.815789,6241.842105,0.652631579,6.868421053,22.65789474,5.368421053,2.052631579,19.97368421,340.7368421,389.9736842,51.13157895,0.894736842,4.736842105,18.94736842,4.078947368,15.5,11,1.578947368,1.052631579,0.526315789,1.763157895,15.5,8.552631579,8.815789474,5.026315789,1.657894737,7.052631579,16.36842105,9.315789474,3.315789474,6.342105263,8.026315789,23.52631579,20.23684211,544.9736842,65.52631579,200.8947368,237.5526316,111.5526316,12.97368421,544.9473684,15.71052632,17.10526316,8.684210526,336.2105263,19.55263158,13.63157895,12.39473684,52.15789474,13.86842105,13.55263158,3
